common_misp,correct
"สมเพท, สมเพศ, สมเพส",สมเพช
"สมโพด, สมโพธ",สมโพธิ
สรรค์หา,สรรหา
สรรเพชร,สรรเพชญ
สรรค์แสร้ง,สรรแสร้ง
สวงสวรรค์,สรวงสวรรค์
สร้างสรร,สร้างสรรค์
สวรรณคต,สวรรคต
สอบเชาว์,สอบเชาวน์
สกด,สะกด
สกิด,สะกิด
สคราญ,สะคราญ
สดวก,สะดวก
สบัด,สะบัด
สะพึงกลัว,สะพรึงกลัว
สพาน,สะพาน
สอาด,สะอาด
"สะเหร่อ, เสล่อ",สะเหล่อ
สักการะบูชา,สักการบูชา
ซักครู่,สักครู่
สังวรณ์,สังวร
สังวาลย์,สังวาล
สังสรร,สังสรรค์
สังเกตุ,สังเกต
สังเขบ,สังเขป
"สัญลักษ์, สัญญลักษณ์",สัญลักษณ์
"สันฐาน, สันฐาณ, สัณฐาณ",สัณฐาน
สัณดาป,สันดาป
"สันนิฐาน, -ฐาณ",สันนิษฐาน
สัญโดษ,สันโดษ
สัปลับ,สับปลับ
"สัปรด, สัปปะรด, สับปะรส",สับปะรด
"สับดา,สัปดา",สัปดาห์
"สัพเหร่อ, สัปปะเหร่อ",สัปเหร่อ
สรรพยอก,สัพยอก
"สัมภาษ, สัมภาสน์",สัมภาษณ์
"สัมนา, สำมะนา",สัมมนา
สาธร,สาทร
สาธารณะชน,สาธารณชน
สาธารณะประโยชน์,สาธารณประโยชน์
สาธารณะสถาน,สาธารณสถาน
สาธารณะสุข,สาธารณสุข
สาปสูญ,สาบสูญ
สาบาญ,สาบาน
สาบสรร,สาปสรร
สาบแช่ง,สาปแช่ง
สามเศร้า,สามเส้า
สายสิญจ์,สายสิญจน์
สาระประโยชน์,สารประโยชน์
"สาระพี, สารพี",สารภี
สารสำคัญ,สาระสำคัญ
สารัตถะประโยชน์,สารัตถประโยชน์
สารัตถสำคัญ,สารัตถะสำคัญ
สำอางค์,สำอาง
สิงห์โต,สิงโต
"สิทธ, สิทธ์","สิทธิ, สิทธิ์"
"สีสวาท, สีสวาส",สีสวาด
"สีสรร, สีสรรค์",สีสัน
สุกี้ยากี้,สุกียากี้
สุขสรร,สุขสันต์
สุขคติ,สุคติ
สูญญากาศ,สุญญากาศ
สูติบัตร,สูจิบัตร
สูจิบัตร,สูติบัตร
แสกน,สแกน
"สะไบ, ไสบ",สไบ
ส่วนด้ายส่วนเสีย,ส่วนได้ส่วนเสีย
"สะเบียง, สเบียง",เสบียง
เสพย์,เสพ
"เสล่อ, สะเหร่อ",เสร่อ
"เสริฟ, เสริฟ์",เสิร์ฟ
"เสื้อกาว, เสื้อกาวด์",เสื้อกาวน์
เสื้อเชิ๊ต,เสื้อเชิ้ต
โสรส,โสฬส
ใส้,ไส้
"หกคเมน, หกคะเมร",หกคะเมน
หงษ์,หงส์
หง่อยเหงา,หงอยเหงา
หยิง,หญิง
แน่นหนา,หนาแน่น
หนอยแน่,หน็อยแน่
หน้าปัทม์นาฬิกา,หน้าปัดนาฬิกา
หมาหมุ้ย,"หมามุ่ย, หมามุ้ย"
หมาไน,หมาใน
หมูหยอง,หมูหย็อง
หม้อฮ่อม,"หม้อห้อม, ม่อห้อม, ม่อฮ่อม"
"หยากใย่, หยักใย่","หยากไย่, หยักไย่"
"หยิบย่ง, หยิบโย่ง",หยิบหย่ง
อย่าร้าง,หย่าร้าง
หัวมงกุฎท้ายมังกร,หัวมังกุท้ายมังกร
หัวเหน่า,หัวหน่าว
ห่วงไย,ห่วงใย
"เหตุการ, เหตการ",เหตุการณ์
เหม็นสาป,เหม็นสาบ
เหล็กไน,เหล็กใน
เหิร,เหิน
"แหลกราญ, แหลกราน",แหลกลาญ
โหยหวล,โหยหวน
"โหรพา, โหระภา",โหระพา
ไหลตาย,ใหลตาย
ให้อนุญาติ,ให้อนุญาต
"มั๊ย, ไม๊",ไหม
ใหหลำ,ไหหลำ
องคชาติ,องคชาต
องคุลีมาร,องคุลีมาล
"อธิฐาน, -ฐาณ","อธิษฐาน, อธิฏฐาน"
อนาจ,อนาถ
อนาธร,อนาทร
อนุกาชาติ,อนุกาชาด
อนุญาติ,อนุญาต
อนุมัต,อนุมัติ
"อนุเสาวรีย์, อณุสาวรีย์",อนุสาวรีย์
อภิรมณ์,อภิรมย์
อภิเสก,อภิเษก
"อัมตะ, อำมตะ","อมต, อมตะ"
อัมรินทร์,อมรินทร์
อัมฤต,"อมฤต, อำมฤต"
อริยสัจจ์,อริยสัจ
"อริยเมตตรัย, อริยเมตไตร",อริยเมตไตรย
อะหลักอะเหลื่อ,อลักเอลื่อ
อลังการ์,อลังการ
"อวสาณ, อวสานต์",อวสาน
อสงขัย,อสงไขย
อหังการ,อหังการ์
อะหิวาตกโรค,อหิวาตกโรค
"อ็อฟ-, -ฟิซ, -ฟิส, -ฟิต",ออฟฟิศ
"อพาร์ตเมนต์, อพาร์ทเมนท์, อพาร์ทเมนต์, อพาร์ตเม้นต์",อะพาร์ตเมนต์
อัลฟาทอกซิน,อะฟลาทอกซิน
"อะลุ่มอะล่วย, อลุ่มอล่วย","อะลุ่มอล่วย, อะลุ้มอล่วย"
อะหลั่ย,อะไหล่
อักขระวิธี,อักขรวิธี
"อักศร, อักสร",อักษร
อัญชัญ,อัญชัน
อัธจันทร์,อัฒจันทร์
อัตคัต,อัตคัด
อัตตะนัย,อัตนัย
"อัทยาศัย, อัธยาษัย",อัธยาศัย
อัพเดท,อัปเดต
อัปเดท,อัปเดต
อัพเดต,อัปเดต
อัพโหลด,อัปโหลด
อัมพาส,อัมพาต
อากาส,อากาศ
อาฆาตมาตร้าย,อาฆาตมาดร้าย
อานิสงฆ์,อานิสงส์
อารมย์,อารมณ์
อาระวาด,อาละวาด
อาวร,อาวรณ์
อาสสงฆ์,อาสน์สงฆ์
อาเจียร,อาเจียน
"อาเพส, อาเภส",อาเพศ
อำนาจบาทใหญ่,อำนาจบาตรใหญ่
อัมหิต,อำมหิต
"อินธนู, อินทร์ธนู",อินทรธนู
"อินทรีย์ (นกอินทรีย์, ปลาอินทรีย์)","อินทรี (นกอินทรี, ปลาอินทรี)"
"อินทรีวัตถุ, อินทรีย์วัตถุ",อินทรียวัตถุ
"อินฟาเรด, อินฟาร์เรด",อินฟราเรด
อินเตอร์เน็ต,อินเทอร์เน็ต
อิริยาบท,อิริยาบถ
อิสระภาพ,อิสรภาพ
อิสระเสรี,อิสรเสรี
"อิสาน, -สาณ",อีสาน
อีเมล์,อีเมล
อุกาบาต,อุกกาบาต
อุกฤติ,อุกฤษฏ์
อุดมการ,อุดมการณ์
"อุตสาห์, อุดส่า",อุตส่าห์
อุธรณ์,อุทธรณ์
อุทรณ์,อุทร
"อุธาหรณ์, อุทาหร",อุทาหรณ์
อุบาท,อุบาทว์
อุปการะคุณ,อุปการคุณ
"อุปถัมธ์, อุปถัมน์",อุปถัมภ์
"อุปัชฌา, อุปัชชา",อุปัชฌาย์
อุปโลก,อุปโลกน์
อุโมง,อุโมงค์
เอนก,อเนก
อเนถอนาถ,อเนจอนาถ
"เอกฉัน, เอกะฉันท์",เอกฉันท์
เอกขเนก,เอกเขนก
เอ็นโดรฟิน,เอ็นดอร์ฟิน
"แอพพลิเคชัน, แอพพลิเคชั่น, แอปพลิเคชั่น",แอปพลิเคชัน
แอร์โรบิก,แอโรบิก
โอกาศ,โอกาส
"ไอศครีม, ไอติม",ไอศกรีม
"หอยจ๊อ, ห้อยจ๊อ, -จ้อ",ฮ่อยจ๊อ
"เฮโลโหระพา, เฮละโลโหระพา","เฮโลสาระพา, เฮละโลสาระพา"
