   ตอบในมุมมองของคนที่ใช้คำๆนี้ ในบทสนทนา ถ้าเห็นเขาใช้ คำๆนี้แล้วคิดว่า เขามีความสัมพันธ์อย่างไรกับ คนที่เขากำลังพูดด้วย,,,,,,,
คำ (Word),"ให้เกียรติมาก 
(Highly Respectful)",ให้เกียรติ (Respectful),"ปกติ 
(Normal)",ไม่ให้เกียรติ (Disrespectful),ไม่ให้เกียรติมาก (Highly Disrespectful),"บอกไม่ได้ 
(Cannot describe)",
เจ้า,,,,//,,,เสร็จสิ้น
นู่น,,,//,,,,เสร็จสิ้น
ต่างชาติ,,,//,,,,เสร็จสิ้น
สอบ,,,//,,,,เสร็จสิ้น
คร่า,,//,,,,,เสร็จสิ้น
เข้า,,,//,,,,เสร็จสิ้น
โพด,,,,//,,,เสร็จสิ้น
ลายมือ,,,//,,,,เสร็จสิ้น
มีนาคม,,,//,,,,เสร็จสิ้น
เย็บ,,,//,,,,เสร็จสิ้น
เลา,,,//,,,,เสร็จสิ้น
พัง,,,//,,,,เสร็จสิ้น
เริ่ด,,//,,,,,เสร็จสิ้น
อ่ะ,,,//,,,,เสร็จสิ้น
สวัสดี,,//,,,,,เสร็จสิ้น
ปุ๋ย,,,//,,,,เสร็จสิ้น
ชนะ,//,,,,,,เสร็จสิ้น
ศิลปิน,,//,,,,,เสร็จสิ้น
ตำบล,,,//,,,,เสร็จสิ้น
ฮือ,,,//,,,,เสร็จสิ้น
ปลอดภัย,,//,,,,,เสร็จสิ้น
มี,,,//,,,,เสร็จสิ้น
สยาม,,,//,,,,เสร็จสิ้น
เป็นไร,,//,,,,,เสร็จสิ้น
โรง,,,//,,,,เสร็จสิ้น
นุ่น,,,//,,,,เสร็จสิ้น
สามสิบ,,,//,,,,เสร็จสิ้น
ดือ,,,//,,,,เสร็จสิ้น
กระดาษ,,,//,,,,เสร็จสิ้น
ตัด,,,//,,,,เสร็จสิ้น
อยู่,,,//,,,,เสร็จสิ้น
ตัน,,,//,,,,เสร็จสิ้น
นาฬิกาทราย,,,//,,,,เสร็จสิ้น
ตุลาคม,,,//,,,,เสร็จสิ้น
พัทยา,,,//,,,,เสร็จสิ้น
แหวน,,,//,,,,เสร็จสิ้น
หมู,,,//,,,,เสร็จสิ้น
หาร,,,//,,,,เสร็จสิ้น
เศร้าโศก,,,//,,,,เสร็จสิ้น
หล่า,,,//,,,,เสร็จสิ้น
น่ากลัว,,,,//,,,เสร็จสิ้น
น้ำตาล,,,//,,,,เสร็จสิ้น
หั่น,,,//,,,,เสร็จสิ้น
ไทยรัฐ,,,//,,,,เสร็จสิ้น
เป็นหวัด,,,//,,,,เสร็จสิ้น
พอร์ต,,,//,,,,เสร็จสิ้น
นร.,,,//,,,,เสร็จสิ้น
แป้ง,,,//,,,,เสร็จสิ้น
ลำบาก,,,//,,,,เสร็จสิ้น
อนุโลม,//,,,,,,เสร็จสิ้น
มีปัญหา,,,//,,,,เสร็จสิ้น
อืม,,,//,,,,เสร็จสิ้น
พส,,,//,,,,เสร็จสิ้น
หน้าอก,,,,,//,,เสร็จสิ้น
บาดแผล,,,//,,,,เสร็จสิ้น
บ่อย,,,//,,,,เสร็จสิ้น
จำคุก,,,//,,,,เสร็จสิ้น
ใคร,,,//,,,,เสร็จสิ้น
ฮับ,//,,,,,,เสร็จสิ้น
แสน,,,//,,,,เสร็จสิ้น
น้อย,,,//,,,,เสร็จสิ้น
ไหน,,,//,,,,เสร็จสิ้น
ผ้าพันคอ,,,//,,,,เสร็จสิ้น
บั้ม,,,//,,,,เสร็จสิ้น
จำกัด,,,//,,,,เสร็จสิ้น
ย่า,,,//,,,,เสร็จสิ้น
เบอร์,,,//,,,,เสร็จสิ้น
ซอส,,,//,,,,เสร็จสิ้น
ถือ,,,//,,,,เสร็จสิ้น
ขอบ,,,//,,,,เสร็จสิ้น
ตำรวจ,,,//,,,,เสร็จสิ้น
ระนาด,,,//,,,,เสร็จสิ้น
โปรด,//,,,,,,เสร็จสิ้น
สิบ,,,//,,,,เสร็จสิ้น
ม.ค.,,,//,,,,เสร็จสิ้น
คุ้มครอง,,,//,,,,เสร็จสิ้น
ไม่,,,//,,,,เสร็จสิ้น
คอร์ส,,,//,,,,เสร็จสิ้น
ทิพย์,,,//,,,,เสร็จสิ้น
หน่อย,,,//,,,,เสร็จสิ้น
เต็ม,,,//,,,,เสร็จสิ้น
บ้า,,,,,//,,เสร็จสิ้น
ชะงัก,,,//,,,,เสร็จสิ้น
กำลัง,,,//,,,,เสร็จสิ้น
สมุทรปราการ,,,//,,,,เสร็จสิ้น
ปาก,,,//,,,,เสร็จสิ้น
รถติด,,,//,,,,เสร็จสิ้น
ช่วย,,//,,,,,เสร็จสิ้น
ทั้งวัน,,,//,,,,เสร็จสิ้น
การเงิน,,,//,,,,เสร็จสิ้น
ละมุน,,,//,,,,เสร็จสิ้น
ดี,//,,,,,,เสร็จสิ้น
นิว,,,//,,,,เสร็จสิ้น
โอม,,,//,,,,เสร็จสิ้น
จำหน่าย,,,//,,,,เสร็จสิ้น
หนวด,,,//,,,,เสร็จสิ้น
แตงโม,,,//,,,,เสร็จสิ้น
ถั่ว,,,//,,,,เสร็จสิ้น
โรงเรียนเอกชน,,,//,,,,เสร็จสิ้น
พัก,,,//,,,,เสร็จสิ้น
สมบูรณาญาสิทธิราชย์,,,//,,,,เสร็จสิ้น
สอง,,,//,,,,เสร็จสิ้น
ยังงัย,,,//,,,,เสร็จสิ้น
ท่า,,,//,,,,เสร็จสิ้น
เงิน,,,//,,,,เสร็จสิ้น
ทรัพย์,,,//,,,,เสร็จสิ้น
อ.,//,,,,,,เสร็จสิ้น
ยำ,,,//,,,,เสร็จสิ้น
ใกล้,,,//,,,,เสร็จสิ้น
ซาลาเปา,,,//,,,,เสร็จสิ้น
วา,,,//,,,,เสร็จสิ้น
ร้านอาหาร,,,//,,,,เสร็จสิ้น
โดน,,,,//,,,เสร็จสิ้น
น่ะ,,,//,,,,เสร็จสิ้น
พรุ่งนี้,,,//,,,,เสร็จสิ้น
เจ็บปวด,,,//,,,,เสร็จสิ้น
แน่,,,//,,,,เสร็จสิ้น
เปน,,,//,,,,เสร็จสิ้น
ยู,,,//,,,,เสร็จสิ้น
กี,,,,,//,,เสร็จสิ้น
ทหาร,,,//,,,,เสร็จสิ้น
เครดิต,,,//,,,,เสร็จสิ้น
บล็อก,,,,,//,,เสร็จสิ้น
ตาย,,,,,//,,เสร็จสิ้น
บาส,,,//,,,,เสร็จสิ้น
ลง,,,//,,,,เสร็จสิ้น
สั*,,,,,//,,เสร็จสิ้น
ละ,,,//,,,,เสร็จสิ้น
แรง,,,//,,,,เสร็จสิ้น
ยาย,,//,,,,,เสร็จสิ้น
ยุ้ย,,,//,,,,เสร็จสิ้น
คลัง,,,//,,,,เสร็จสิ้น
ฉัน,//,,,,,,เสร็จสิ้น
อู้,,,,,//,,เสร็จสิ้น
มั่นคง,//,,,,,,เสร็จสิ้น
หุ้น,,,//,,,,เสร็จสิ้น
คลี,,,//,,,,เสร็จสิ้น
ดาราจักร,,,//,,,,เสร็จสิ้น
อร่อย,//,,,,,,เสร็จสิ้น
ลมแรง,,,//,,,,เสร็จสิ้น
ไฟล์,,,//,,,,เสร็จสิ้น
หวะ,,,//,,,,เสร็จสิ้น
รึปล่าว,,,//,,,,เสร็จสิ้น
นาน,,,//,,,,เสร็จสิ้น
เครื่องปรุง,,,//,,,,เสร็จสิ้น
สนุก,,,//,,,,เสร็จสิ้น
ดีใจ,//,,,,,,เสร็จสิ้น
อาจารย์,//,,,,,,เสร็จสิ้น
ยาม,,,//,,,,เสร็จสิ้น
คนขับ,,,//,,,,เสร็จสิ้น
และ,,,//,,,,เสร็จสิ้น
เบื้องหน้าเบื้องหลัง,,,//,,,,เสร็จสิ้น
วาน,,,//,,,,เสร็จสิ้น
นิ้ว,,,//,,,,เสร็จสิ้น
พยาบาล,,,//,,,,เสร็จสิ้น
มีชื่อเสียง,//,,,,,,เสร็จสิ้น
ข้าวเหนียว,,,//,,,,เสร็จสิ้น
กังวล,,,//,,,,เสร็จสิ้น
ล้อรถ,,,//,,,,เสร็จสิ้น
สิ,,,//,,,,เสร็จสิ้น
ไพร,,,//,,,,เสร็จสิ้น
เซเว่น,,,//,,,,เสร็จสิ้น
ซีเกมส์,,,//,,,,เสร็จสิ้น
ร้องไห้,,,//,,,,เสร็จสิ้น
นะคะ,//,,,,,,เสร็จสิ้น
การ์ตูน,,,//,,,,เสร็จสิ้น
การ์ด,,,//,,,,เสร็จสิ้น
งานศพ,//,,,,,,เสร็จสิ้น
แอม,,,//,,,,เสร็จสิ้น
หรอ,,,//,,,,เสร็จสิ้น
งี้,,,//,,,,เสร็จสิ้น
วันก่อน,,,//,,,,เสร็จสิ้น
ต่อ,,,//,,,,เสร็จสิ้น
บัญชี,,,//,,,,เสร็จสิ้น
จี๊ด,,,//,,,,เสร็จสิ้น
อ้าว,,,//,,,,เสร็จสิ้น
โทร,,,//,,,,เสร็จสิ้น
เิง,,,,,,//,เสร็จสิ้น
อื้อหือ,,,//,,,,เสร็จสิ้น
รัดกุม,,,//,,,,เสร็จสิ้น
ชาติ,,,//,,,,เสร็จสิ้น
อีกหน่อย,,,//,,,,เสร็จสิ้น
ศร,,,//,,,,เสร็จสิ้น
ตู้,,,//,,,,เสร็จสิ้น
อัพ,,,//,,,,เสร็จสิ้น
หายใจเข้า,,,//,,,,เสร็จสิ้น
ความ,,,//,,,,เสร็จสิ้น
ป่าว,,,//,,,,เสร็จสิ้น
ข้าวผัด,,,//,,,,เสร็จสิ้น
กระเป๋า,,,//,,,,เสร็จสิ้น
ฟรี,,,,,//,,เสร็จสิ้น
เนี่ยะ,,,//,,,,เสร็จสิ้น
เสด็จ,//,,,,,,เสร็จสิ้น
ละเอียด,,,//,,,,เสร็จสิ้น
สบู่,,,//,,,,เสร็จสิ้น
มุก,,,//,,,,เสร็จสิ้น
ออก,,,//,,,,เสร็จสิ้น
ให้,,,//,,,,เสร็จสิ้น
เกเร,,,,,//,,เสร็จสิ้น
ยาก,,,//,,,,เสร็จสิ้น
วรรณกรรม,,,//,,,,เสร็จสิ้น
ธัญพืช,,,//,,,,เสร็จสิ้น
หนิ,,,//,,,,เสร็จสิ้น
น้า,,//,,,,,เสร็จสิ้น
ประทับใจ,//,,,,,,เสร็จสิ้น
อาหารสำเร็จรูป,,,//,,,,เสร็จสิ้น
แกง,,,//,,,,เสร็จสิ้น
สามารถ,//,,,,,,เสร็จสิ้น
ราศรี,//,,//,,,,เลือกมากกว่า 1
สบายดี,,,,,,,
คูณ,,,//,,,,เสร็จสิ้น
มาร,,,//,,,,เสร็จสิ้น
จ่ะ,,,//,,,,เสร็จสิ้น
คนสวย,//,,,,,,เสร็จสิ้น
นุ่ม,,,//,,,,เสร็จสิ้น
แก,,,//,,,,เสร็จสิ้น
หยุด,,,//,,,,เสร็จสิ้น
มีด,,,//,,,,เสร็จสิ้น
กระทืบ,,,,,//,,เสร็จสิ้น
เสา,,,//,,,,เสร็จสิ้น
พึ่ง,,,//,,,,เสร็จสิ้น
ซับ,,,//,,,,เสร็จสิ้น
ส้มตำ,,,//,,,,เสร็จสิ้น
บวก,,,//,,,,เสร็จสิ้น
พารา,,,//,,,,เสร็จสิ้น
คร่ะ,//,,,,,,เสร็จสิ้น
เต๋า,,,//,,,,เสร็จสิ้น
ยิ้ม,//,,,,,,เสร็จสิ้น
นาง,,,//,,,,เสร็จสิ้น
ม.,,,//,,,,เสร็จสิ้น
ทรัพย์สิน,,,//,,,,เสร็จสิ้น
บี,,,//,,,,เสร็จสิ้น
จมูก,,,//,,,,เสร็จสิ้น
ตะหาก,,,//,,,,เสร็จสิ้น
เปิ้ล,,,//,,,,เสร็จสิ้น
น่าน,,,//,,,,เสร็จสิ้น
ใน,,,//,,,,เสร็จสิ้น
สมาธิ,,,//,,,,เสร็จสิ้น
ไม่งั้น,,,//,,,,เสร็จสิ้น
อนุ,,,//,,,,เสร็จสิ้น
วิริยะ,,,//,,,,เสร็จสิ้น
จอห์น,,,//,,,,เสร็จสิ้น
ข้าว,,,//,,,,เสร็จสิ้น
ตก,,,//,,,,เสร็จสิ้น
รีด,,,//,,,,เสร็จสิ้น
น้ำท่วม,,,//,,,,เสร็จสิ้น
ประสาท,,,,,//,,เสร็จสิ้น
ว้าว,//,,,,,,เสร็จสิ้น
ติดคุก,,,,,//,,เสร็จสิ้น
คุม,,,//,,,,เสร็จสิ้น
นาย,,//,,,,,เสร็จสิ้น
น่ารัก,//,,,,,,เสร็จสิ้น
อนันต์,,,//,,,,เสร็จสิ้น
คืน,,,//,,,,เสร็จสิ้น
เรา,,//,,,,,เสร็จสิ้น
อาร์,,,//,,,,เสร็จสิ้น
เจ็บ,,,//,,,,เสร็จสิ้น
ปอนด์,//,,,,,,เสร็จสิ้น
เส้นศูนย์สูตร,,,//,,,,เสร็จสิ้น
ฉี่,,,//,,,,เสร็จสิ้น
ข้าวกล้อง,,,//,,,,เสร็จสิ้น
เสีย,,,//,,,,เสร็จสิ้น
ประณาม,,,,//,,,เสร็จสิ้น
เอ้ย,,,,//,,,เสร็จสิ้น
เดา,,,//,,,,เสร็จสิ้น
ออกกำลังกาย,,,//,,,,เสร็จสิ้น
งง,,,//,,,,เสร็จสิ้น
ท้อง,,,//,,,,เสร็จสิ้น
อ้ะ,,,//,,,,เสร็จสิ้น
เงินสด,,,//,,,,เสร็จสิ้น
30,,,//,,,,เสร็จสิ้น
เจ๋ง,,//,,,,,เสร็จสิ้น
บาด,,,//,,,,เสร็จสิ้น
ปสก,,,//,,,,เสร็จสิ้น
มิ้ง,//,,,,,,เสร็จสิ้น
สมดุล,,,//,,,,เสร็จสิ้น
จูน,//,,,,,,เสร็จสิ้น
เค้ก,,,//,,,,เสร็จสิ้น
ตาน,//,,,,,,เสร็จสิ้น
นางฟ้า,//,,,,,,เสร็จสิ้น
อบอุ่น,//,,,,,,เสร็จสิ้น
ชุดว่ายน้ำ,,,//,,,,เสร็จสิ้น
ยาด,,,//,,,,เสร็จสิ้น
ปราง,//,,,,,,เสร็จสิ้น
แดน,,,//,,,,เสร็จสิ้น
ซัก,,,//,,,,เสร็จสิ้น
555,,,//,,,,เสร็จสิ้น
ง้าบบ,,//,,,,,เสร็จสิ้น
ญาต,,//,,,,,เสร็จสิ้น
เพิ่ง,,,//,,,,เสร็จสิ้น
พ่อ,,//,,,,,เสร็จสิ้น
ก.,,,,,,//,เสร็จสิ้น
ดูแลตัวเอง,//,,,,,,เสร็จสิ้น
เกิน,,,//,,,,เสร็จสิ้น
เรื่อยๆ,,,//,,,,เสร็จสิ้น
แก้ว,,,//,,,,เสร็จสิ้น
บ้าง,,,//,,,,เสร็จสิ้น
เกษตร,,,//,,,,เสร็จสิ้น
ยะ,,,//,,,,เสร็จสิ้น
โจเซฟ,//,,,,,,เสร็จสิ้น
อ่ยย,,//,,,,,เสร็จสิ้น
สุ่ม,,,//,,,,เสร็จสิ้น
คั้บบบ,,//,,,,,เสร็จสิ้น
ที่ดิน,,,//,,,,เสร็จสิ้น
วรรณคดี,,,//,,,,เสร็จสิ้น
ซูม,,,//,,,,เสร็จสิ้น
ที,,,//,,,,เสร็จสิ้น
ตัวเอง,,,//,,,,เสร็จสิ้น
เจ้าสัว,//,,,,,,เสร็จสิ้น
วาย,,,//,,,,เสร็จสิ้น
งบ,,,//,,,,เสร็จสิ้น
เอา,,,//,,,,เสร็จสิ้น
แถม,,,//,,,,เสร็จสิ้น
ทะยอย,,,//,,,,เสร็จสิ้น
เข็นครกขึ้นภูเขา,,,//,,,,เสร็จสิ้น
เบ๋อ,,,//,,,,เสร็จสิ้น
จี,,,//,,,,เสร็จสิ้น
ลูกสาว,,//,,,,,เสร็จสิ้น
ทุกวัน,,,//,,,,เสร็จสิ้น
เสื้อกันหนาว,,,//,,,,เสร็จสิ้น
ขั้น,,,//,,,,เสร็จสิ้น
เอิ่มมม,,,//,,,,เสร็จสิ้น
ยาดม,,,//,,,,เสร็จสิ้น
เขา,,//,,,,,เสร็จสิ้น
เอน,,,//,,,,เสร็จสิ้น
เจ้าหน้าที่,,//,,,,,เสร็จสิ้น
ทำนอง,,,//,,,,เสร็จสิ้น
อุ้ม,,,//,,,,เสร็จสิ้น
เห้ยยย,,,,//,,,เสร็จสิ้น
ยิน,,,//,,,,เสร็จสิ้น
ขิต,,,,//,,,เสร็จสิ้น
แพง,,,,,//,,เสร็จสิ้น
ค่ะ,,//,,,,,เสร็จสิ้น
ปลาช่อน,,,//,,,,เสร็จสิ้น
ต้าน,,,//,,,,เสร็จสิ้น
ปลา,,,//,,,,เสร็จสิ้น
เงินกู้,,,//,,,,เสร็จสิ้น
ภัย,,,//,,,,เสร็จสิ้น
พรุ่ง,,,//,,,,เสร็จสิ้น
ดิ,,,//,,,,เสร็จสิ้น
สด,,,//,,,,เสร็จสิ้น
แก้ม,,,//,,,,เสร็จสิ้น
ธกส.,,,//,,,,เสร็จสิ้น
บ่า,,,//,,,,เสร็จสิ้น
นั้น,,,//,,,,เสร็จสิ้น
รอบเอว,,,//,,,,เสร็จสิ้น
ตับ,,,//,,,,เสร็จสิ้น
สุพรรณ,,,//,,,,เสร็จสิ้น
ส้ม,,,//,,,,เสร็จสิ้น
หยอก,,,//,,,,เสร็จสิ้น
ลังเล,,,//,,,,เสร็จสิ้น
ผม,,//,,,,,เสร็จสิ้น
หิ้ว,,,//,,,,เสร็จสิ้น
ความรัก,//,,,,,,เสร็จสิ้น
วาฬ,,,//,,,,เสร็จสิ้น
แง้งง,,,//,,,,เสร็จสิ้น
ลูกเขย,,//,,,,,เสร็จสิ้น
